ticker,name,sector,industry,market_cap,pe_ratio,ps_ratio,ev_to_ebitda,roe,profit_margin,debt_to_equity,dividend_yield,rev_growth_qoq,analyst_rec,target_price,current_ratio,quick_ratio,proxy_peg,free_cash_flow,ebit
MKC,"McCormick & Company, Incorporat",Consumer Defensive,Packaged Foods,17373323264,22.0887,2.5398,16.603,0.1424,0.1154,73.211,2.94,0.029,buy,73.8462,0.698,0.237,7.62,740400000,1109200000
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,2.32E+11,27.2117,8.6312,19.643,,0.3185,,2.27,0.097,buy,341.7188,0.955,0.743,2.81,6672000000,
MCK,McKesson Corporation,Healthcare,Medical Distribution,1.14E+11,26.7284,0.2872,20.421,,0.0109,,0.35,0.114,buy,990.6,0.876,0.458,2.34,5226000000,4624000000
MDT,Medtronic plc.,Healthcare,Medical Devices,1.17E+11,25.3687,3.2861,14.758,0.0939,0.13,57.06,3.05,0.087,buy,111.6923,2.535,1.553,2.92,5185000000,6357000000
MRK,"Merck & Company, Inc.",Healthcare,Drug Manufacturers - General,2.84E+11,15.8022,4.375,11.098,0.3688,0.2808,95.959,2.93,0.05,buy,127.2222,1.536,0.963,3.16,12360000000,22424000000
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1.63E+12,27.4379,8.1229,16.433,0.3024,0.3008,39.164,0.32,0.238,strong_buy,863.1993,2.599,2.423,1.15,46109000000,87097000000
MET,"MetLife, Inc.",Financial Services,Insurance - Life,46873550848,15.104,0.6081,14.727,0.1202,0.0438,225.974,3.11,0.276,buy,90.9333,1.895,1.595,0.55,,5722000000
MTD,"Mettler-Toledo International, I",Healthcare,Diagnostics & Research,24962842624,29.0944,6.1998,22.966,,0.2159,,0,0.081,buy,1501.3846,1.137,0.705,3.59,848648000,1117424000
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,9794266112,47.1184,0.5585,16.83,0.1489,0.0117,963.089,0,0.06,buy,42.6111,1.234,1.03,7.85,1460451000,699821000
MCHP,Microchip Technology Incorporat,Technology,Semiconductors,35352383488,,8.0854,42.707,-0.0109,-0.0157,82.382,2.68,0.156,buy,86.6667,2.162,0.927,,772100000,290300000
MU,"Micron Technology, Inc.",Technology,Semiconductors,4.29E+11,36.2714,10.15,20.197,0.2255,0.2815,21.244,0.12,0.567,buy,409.4474,2.46,1.7,0.64,1668000000,10131000000
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,3.05E+12,25.658,9.9765,17.593,0.3439,0.3904,31.539,0.89,0.167,strong_buy,595.9957,1.386,1.239,1.54,71611000000,1.26E+11
MAA,Mid-America Apartment Communiti,Real Estate,REIT - Residential,15887520768,35.0185,7.1918,17.095,0.0764,0.2023,93.305,4.55,0.01,buy,145.0417,0.071,0.036,35.02,717937000,644343000
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,20607938560,,10.6008,-5.864,-0.2887,-1.4516,15.087,0,-0.298,hold,42.9,3.293,3.061,,-2075000000,-2758000000
MOH,Molina Healthcare Inc,Healthcare,Healthcare Plans,7565349888,16.4686,0.1737,3.766,0.1102,0.0108,99.435,0,0.071,hold,155.6875,1.688,1.599,2.32,-636000000,781000000
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,9180396544,,0.824,6.218,-0.1817,-0.192,61.772,4.08,-0.027,hold,48,0.553,0.352,,1067800000,-2270100000
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,75014348800,30.759,1.9466,18.933,0.0933,0.0636,84.848,3.44,0.093,buy,66.875,0.592,0.319,3.31,3235000000,3613000000
MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,50547331072,80.2104,18.1143,66.234,0.1917,0.2227,0.683,0.74,0.208,strong_buy,1328.2858,5.912,4.256,3.86,642292000,539358000
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,73947480064,38.9639,8.9154,27.607,0.2682,0.2297,0.8,0,0.176,buy,87.1583,3.703,3.028,2.21,1940648000,2419354000
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,83445358592,34.4039,10.8118,23.676,0.6208,0.3186,176.813,0.88,0.13,buy,546.7,1.74,1.532,2.65,2575000000,3411000000
MS,Morgan Stanley,Financial Services,Capital Markets,2.52E+11,15.5646,3.5896,,0.1561,0.2399,455.747,2.46,0.11,buy,195.5238,2.053,1.673,1.41,-20787000000,
MOS,Mosaic Company (The),Basic Materials,Agricultural Inputs,8466277888,15.6853,0.7025,5.976,0.0482,0.0449,43.154,3.35,0.056,buy,31.7474,1.315,0.398,2.8,47400000,545400000
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,76937576448,36.2302,6.586,24.413,1.042,0.1844,402.39,1.04,0.123,none,502,1.037,0.816,2.95,2572000000,3172000000
MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,42464358400,36.0421,13.5476,26.001,,0.3836,,1.45,0.106,buy,678.3125,0.899,0.819,3.4,1458585000,1704145000
NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,50370363392,28.5485,9.5962,18.958,0.1525,0.3406,77.878,1.22,0.134,buy,108.3333,1.005,0.196,2.13,1989000000,2499000000
NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,19942696960,16.8943,2.9702,11.347,1.1259,0.1807,236.097,2.04,0.044,buy,119.5,1.39,1.205,3.84,1338000000,1447000000
NFLX,"Netflix, Inc.",Communication Services,Entertainment,4.19E+11,39.0494,9.2751,31.232,0.4276,0.243,63.782,0,0.176,buy,113.8883,1.186,1.061,2.22,9461053000,13499062000
